Data Sheet Name,Variable,Units,Category,Description,,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,date_time,YYYY-MM-DD HH:MM,date,Date and time (PST),,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,tank,NA,categorical,Unique tank identification (ID) number,,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,treat,NA,categorical,"Corresponds to the pCO2 treatment - 'high' (1200 ?atm) , 'mid' (950 ?atm), 'ambient' (520 ?atm)",,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,pH,NBS scale,numerical,"Measured by Honeywell Durafet pH probes every minute and recorded as an average every five minutes. These data serve as a real-time coarse monitoring/diagnostics tool of the mesocosms carbonate chemistry conditions and as time-series reflecting stability or dynamic patterns of experimental treatments. The uncertainty and drift associated with these sensors in this setting, however, prevents the use of these data beyond these uses. The most accurate and precise data source capturing the carbonate chemistry in the tanks are discrete carbonate chemistry samples analyzed for TCO2/pCO2 in the Burke-o-lator (BoL) as seen below. ",,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,temp,°C,numerical,Measured by Walchem temperature probes every minute and recorded as an average every five minutes,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,date,YYYY-MM-DD,date,Date sampling occurred ,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,samplers,Initials,character,Initials of personnelle involved in sampling,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,treatment,NA,categorical,"Corresponds to the pCO2  treatment - 'high' (1200 ?atm) , 'mid' (950 ?atm), 'ambient' (520 ?atm)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tank_rep,NA,categorical,Indicates replicate number of each treatment. For this experiment there were 3 replicates of each treatment.,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tank,NA,categorical,Unique tank identification (ID) number,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,time_point,NA,categorical,Refers to the sequence of sampling events throughout the course of the experiment ,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,oyster_ID,NA,numerical,Unique number assigned to each oyster as they were destructively sampled,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,wet_weight_g,grams,numerical,The wet weight (2 decimal places) including shell and oyster,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,shell_height_mm,millimeters,numerical,"The longest measurement from the umbo to the furthest growth end of the shell (Galtsoff, 1964)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,shell_length_mm,millimeters,numerical,"The longest measurement from one side of the shell to the other perpendicular to the height (Galtsoff, 1964)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,shell_width_mm,millimeters,numerical,"The longest measurement from the top of the flat shell to the bottom of the cupped shell perpendicular to height and length (Galtsoff, 1964)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,health_vitality,"N, W, X",categorical,"Assessed the ability to close valves when opening with a shucking knife where N = normal, W = weak, X = dead ",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,condition,"1, 2, 3",categorical,"Assessed condition of the tissue when shell was opened where 1 = watery and emaciated, 2 = medium/average fatenss and 3 = fat and plump",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,mantle_recession,"0, 1, 2",categorical,"Assessed recession of the mantle when shell was opened where 0 = normal/healthy, 1 = minor (acute or recent), 2 = moderate to severe (chronic condition)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,conchiolin_deposits,"0, 1, 2, 3",categorical,"Assessed amount of conchiolin deposits on inside of shell when opened where 0 = none/normal/healthy, 1 = minor (affecting < 25% of shell surface), 2 = moderate (affecting > 25% of shell surface area), 3 = severe extensive conchiolin",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,digestive_gland_colouration,"0, 1, 2",categorical,"Assessed digestive gland colour during dissection where 0 = normal, dark brown colour, 1 = slightly pale coloured, ranging from olive green to brown hues, 2 = extremely pale coloured, ranging from grey to beige hues",,,,,,,,,,,,,,,,,,,,,,
