date_time,tank,treat,pH,temp
2023-02-22 06:00:00,7,high,7.557,10.27
2023-02-22 06:05:00,7,high,7.556,10.28
2023-02-22 06:10:00,7,high,7.558,10.28
2023-02-22 06:15:00,7,high,7.558,10.31
2023-02-22 06:20:00,7,high,7.556,10.32
2023-02-22 06:25:00,7,high,7.557,10.33
2023-02-22 06:30:00,7,high,7.556,10.34
2023-02-22 06:35:00,7,high,7.555,10.36
2023-02-22 06:40:00,7,high,7.557,10.37
2023-02-22 06:45:00,7,high,7.556,10.38
2023-02-22 06:50:00,7,high,7.555,10.39
2023-02-22 06:55:00,7,high,7.557,10.4
2023-02-22 07:00:00,7,high,7.558,10.41
2023-02-22 07:05:00,7,high,7.558,10.43
2023-02-22 07:10:00,7,high,7.559,10.43
2023-02-22 07:15:00,7,high,7.559,10.44
2023-02-22 07:20:00,7,high,7.559,10.46
2023-02-22 07:25:00,7,high,7.558,10.47
2023-02-22 07:30:00,7,high,7.56,10.48
2023-02-22 07:35:00,7,high,7.56,10.45
2023-02-22 07:40:00,7,high,7.563,10.33
2023-02-22 07:45:00,7,high,7.564,10.29
2023-02-22 07:50:00,7,high,7.564,10.3
2023-02-22 07:55:00,7,high,7.566,10.31
2023-02-22 08:00:00,7,high,7.567,10.33
2023-02-22 08:05:00,7,high,7.566,10.34
2023-02-22 08:10:00,7,high,7.567,10.34
2023-02-22 08:15:00,7,high,7.568,10.35
2023-02-22 08:20:00,7,high,7.567,10.36
2023-02-22 08:25:00,7,high,7.567,10.37
2023-02-22 08:30:00,7,high,7.568,10.38
2023-02-22 08:35:00,7,high,7.568,10.39
2023-02-22 08:40:00,7,high,7.568,10.41
2023-02-22 08:45:00,7,high,7.568,10.42
2023-02-22 08:50:00,7,high,7.568,10.42
2023-02-22 08:55:00,7,high,7.568,10.44
2023-02-22 09:00:00,7,high,7.566,10.45
2023-02-22 09:05:00,7,high,7.567,10.46
2023-02-22 09:10:00,7,high,7.566,10.47
2023-02-22 09:15:00,7,high,7.566,10.48
2023-02-22 09:20:00,7,high,7.566,10.48
2023-02-22 09:25:00,7,high,7.566,10.43
2023-02-22 09:30:00,7,high,7.567,10.33
2023-02-22 09:35:00,7,high,7.566,10.26
2023-02-22 09:40:00,7,high,7.568,10.24
2023-02-22 09:45:00,7,high,7.566,10.25
2023-02-22 09:50:00,7,high,7.565,10.27
2023-02-22 09:55:00,7,high,7.564,10.28
2023-02-22 10:00:00,7,high,7.563,10.29
2023-02-22 10:05:00,7,high,7.563,10.3
2023-02-22 10:10:00,7,high,7.562,10.32
2023-02-22 10:15:00,7,high,7.561,10.33
2023-02-22 10:20:00,7,high,7.558,10.34
2023-02-22 10:25:00,7,high,7.557,10.36
2023-02-22 10:30:00,7,high,7.556,10.37
2023-02-22 10:35:00,7,high,7.554,10.38
2023-02-22 10:40:00,7,high,7.552,10.37
2023-02-22 10:45:00,7,high,7.55,10.37
2023-02-22 10:50:00,7,high,7.551,10.36
2023-02-22 10:55:00,7,high,7.551,10.35
2023-02-22 11:00:00,7,high,7.55,10.34
2023-02-22 11:05:00,7,high,7.55,10.33
2023-02-22 11:10:00,7,high,7.55,10.33
2023-02-22 11:15:00,7,high,7.548,10.32
2023-02-22 11:20:00,7,high,7.548,10.31
2023-02-22 11:25:00,7,high,7.548,10.31
2023-02-22 11:30:00,7,high,7.548,10.3
2023-02-22 11:35:00,7,high,7.548,10.29
2023-02-22 11:40:00,7,high,7.547,10.29
2023-02-22 11:45:00,7,high,7.547,10.29
2023-02-22 11:50:00,7,high,7.546,10.28
2023-02-22 11:55:00,7,high,7.546,10.27
2023-02-22 12:00:00,7,high,7.547,10.27
2023-02-22 12:05:00,7,high,7.546,10.26
2023-02-22 12:10:00,7,high,7.547,10.25
2023-02-22 12:15:00,7,high,7.547,10.25
2023-02-22 12:20:00,7,high,7.547,10.24
2023-02-22 12:25:00,7,high,7.547,10.23
2023-02-22 12:30:00,7,high,7.547,10.23
2023-02-22 12:35:00,7,high,7.547,10.22
2023-02-22 12:40:00,7,high,7.546,10.22
2023-02-22 12:45:00,7,high,7.548,10.21
2023-02-22 12:50:00,7,high,7.547,10.21
2023-02-22 12:55:00,7,high,7.546,10.2
2023-02-22 13:00:00,7,high,7.548,10.2
2023-02-22 13:05:00,7,high,7.549,10.19
2023-02-22 13:10:00,7,high,7.548,10.19
2023-02-22 13:15:00,7,high,7.547,10.18
2023-02-22 13:20:00,7,high,7.548,10.18
2023-02-22 13:25:00,7,high,7.548,10.18
2023-02-22 13:30:00,7,high,7.548,10.17
2023-02-22 13:35:00,7,high,7.547,10.17
2023-02-22 13:40:00,7,high,7.547,10.16
2023-02-22 13:45:00,7,high,7.547,10.16
2023-02-22 13:50:00,7,high,7.546,10.16
2023-02-22 13:55:00,7,high,7.549,10.15
2023-02-22 14:00:00,7,high,7.547,10.15
2023-02-22 14:05:00,7,high,7.546,10.15
2023-02-22 14:10:00,7,high,7.547,10.15
2023-02-22 14:15:00,7,high,7.546,10.17
2023-02-22 14:20:00,7,high,7.544,10.19
2023-02-22 14:25:00,7,high,7.541,10.2
2023-02-22 14:30:00,7,high,7.541,10.22
2023-02-22 14:35:00,7,high,7.538,10.23
2023-02-22 14:40:00,7,high,7.537,10.25
2023-02-22 14:45:00,7,high,7.535,10.27
2023-02-22 14:50:00,7,high,7.534,10.28
2023-02-22 14:55:00,7,high,7.53,10.3
2023-02-22 15:00:00,7,high,7.53,10.32
2023-02-22 15:05:00,7,high,7.528,10.33
2023-02-22 15:10:00,7,high,7.528,10.34
2023-02-22 15:15:00,7,high,7.527,10.25
2023-02-22 15:20:00,7,high,7.531,10.16
2023-02-22 15:25:00,7,high,7.538,10.12
2023-02-22 15:30:00,7,high,7.535,10.13
2023-02-22 15:35:00,7,high,7.534,10.14
2023-02-22 15:40:00,7,high,7.532,10.15
2023-02-22 15:45:00,7,high,7.53,10.17
2023-02-22 15:50:00,7,high,7.531,10.19
2023-02-22 15:55:00,7,high,7.53,10.18
2023-02-22 16:00:00,7,high,7.53,10.18
2023-02-22 16:05:00,7,high,7.53,10.18
2023-02-22 16:10:00,7,high,7.53,10.17
2023-02-22 16:15:00,7,high,7.531,10.17
2023-02-22 16:20:00,7,high,7.53,10.17
2023-02-22 16:25:00,7,high,7.531,10.16
